word,sentiment,lexicon,score
derogatory,negative,loughran,NA
destabilization,negative,loughran,NA
destabilize,negative,loughran,NA
destabilized,negative,loughran,NA
destabilizing,negative,loughran,NA
destroy,negative,loughran,NA
destroyed,negative,loughran,NA
destroying,negative,loughran,NA
destroys,negative,loughran,NA
destruction,negative,loughran,NA
destructive,negative,loughran,NA
detain,negative,loughran,NA
detained,negative,loughran,NA
detention,negative,loughran,NA
detentions,negative,loughran,NA
deter,negative,loughran,NA
deteriorate,negative,loughran,NA
deteriorated,negative,loughran,NA
deteriorates,negative,loughran,NA
deteriorating,negative,loughran,NA
deterioration,negative,loughran,NA
deteriorations,negative,loughran,NA
deterred,negative,loughran,NA
deterrence,negative,loughran,NA
deterrences,negative,loughran,NA
deterrent,negative,loughran,NA
deterrents,negative,loughran,NA
deterring,negative,loughran,NA
deters,negative,loughran,NA
detract,negative,loughran,NA
detracted,negative,loughran,NA
detracting,negative,loughran,NA
detriment,negative,loughran,NA
detrimental,negative,loughran,NA
detrimentally,negative,loughran,NA
detriments,negative,loughran,NA
devalue,negative,loughran,NA
devalued,negative,loughran,NA
devalues,negative,loughran,NA
devaluing,negative,loughran,NA
devastate,negative,loughran,NA
devastated,negative,loughran,NA
devastating,negative,loughran,NA
devastation,negative,loughran,NA
deviate,negative,loughran,NA
deviated,negative,loughran,NA
deviates,negative,loughran,NA
deviating,negative,loughran,NA
deviation,negative,loughran,NA
deviations,negative,loughran,NA
devolve,negative,loughran,NA
devolved,negative,loughran,NA
devolves,negative,loughran,NA
devolving,negative,loughran,NA
difficult,negative,loughran,NA
difficulties,negative,loughran,NA
difficultly,negative,loughran,NA
difficulty,negative,loughran,NA
diminish,negative,loughran,NA
diminished,negative,loughran,NA
diminishes,negative,loughran,NA
diminishing,negative,loughran,NA
diminution,negative,loughran,NA
disadvantage,negative,loughran,NA
disadvantaged,negative,loughran,NA
disadvantageous,negative,loughran,NA
disadvantages,negative,loughran,NA
disaffiliation,negative,loughran,NA
disagree,negative,loughran,NA
disagreeable,negative,loughran,NA
disagreed,negative,loughran,NA
disagreeing,negative,loughran,NA
disagreement,negative,loughran,NA
disagreements,negative,loughran,NA
disagrees,negative,loughran,NA
disallow,negative,loughran,NA
disallowance,negative,loughran,NA
disallowances,negative,loughran,NA
disallowed,negative,loughran,NA
disallowing,negative,loughran,NA
disallows,negative,loughran,NA
disappear,negative,loughran,NA
disappearance,negative,loughran,NA
disappearances,negative,loughran,NA
disappeared,negative,loughran,NA
disappearing,negative,loughran,NA
disappears,negative,loughran,NA
disappoint,negative,loughran,NA
disappointed,negative,loughran,NA
disappointing,negative,loughran,NA
disappointingly,negative,loughran,NA
disappointment,negative,loughran,NA
disappointments,negative,loughran,NA
disappoints,negative,loughran,NA
disapproval,negative,loughran,NA
disapprovals,negative,loughran,NA
disapprove,negative,loughran,NA
disapproved,negative,loughran,NA
disapproves,negative,loughran,NA
disapproving,negative,loughran,NA
disassociates,negative,loughran,NA
disassociating,negative,loughran,NA
disassociation,negative,loughran,NA
disassociations,negative,loughran,NA
disaster,negative,loughran,NA
disasters,negative,loughran,NA
disastrous,negative,loughran,NA
disastrously,negative,loughran,NA
disavow,negative,loughran,NA
disavowal,negative,loughran,NA
disavowed,negative,loughran,NA
disavowing,negative,loughran,NA
disavows,negative,loughran,NA
disciplinary,negative,loughran,NA
disclaim,negative,loughran,NA
disclaimed,negative,loughran,NA
disclaimer,negative,loughran,NA
disclaimers,negative,loughran,NA
disclaiming,negative,loughran,NA
disclaims,negative,loughran,NA
disclose,negative,loughran,NA
disclosed,negative,loughran,NA
discloses,negative,loughran,NA
disclosing,negative,loughran,NA
discontinuance,negative,loughran,NA
discontinuances,negative,loughran,NA
discontinuation,negative,loughran,NA
discontinuations,negative,loughran,NA
discontinue,negative,loughran,NA
discontinued,negative,loughran,NA
discontinues,negative,loughran,NA
discontinuing,negative,loughran,NA
discourage,negative,loughran,NA
discouraged,negative,loughran,NA
discourages,negative,loughran,NA
discouraging,negative,loughran,NA
discredit,negative,loughran,NA
discredited,negative,loughran,NA
discrediting,negative,loughran,NA
discredits,negative,loughran,NA
discrepancies,negative,loughran,NA
discrepancy,negative,loughran,NA
disfavor,negative,loughran,NA
disfavored,negative,loughran,NA
disfavoring,negative,loughran,NA
disfavors,negative,loughran,NA
